City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
153,Yar-Sale,66.8333,70.8333,45.1,77,100,11.83,RU,2022-07-21 21:11:29
154,Pangnirtung,66.1451,-65.7125,44.6,100,75,4.61,CA,2022-07-21 21:09:12
155,Bambous Virieux,-20.3428,57.7575,69.22,65,93,17.98,MU,2022-07-21 21:09:28
156,Pandan,14.0453,124.1694,80.8,86,24,7.11,PH,2022-07-21 21:11:29
157,San Diego De La Union,21.4667,-100.8667,86.23,17,52,17.74,MX,2022-07-21 21:11:30
158,Pouembout,-21.1333,164.9,75.13,85,63,7.96,NC,2022-07-21 21:11:30
159,Severo-Kurilsk,50.6789,156.125,53.76,96,100,26.44,RU,2022-07-21 21:11:30
160,Manggar,-2.8833,108.2667,82.15,77,100,9.62,ID,2022-07-21 21:11:31
161,Mount Gambier,-37.8333,140.7667,47.26,86,100,7.72,AU,2022-07-21 21:08:23
162,Gladstone,-23.85,151.25,58.93,94,75,10.36,AU,2022-07-21 21:11:31
163,Mahebourg,-20.4081,57.7,69.26,66,88,17.36,MU,2022-07-21 21:11:31
164,Launceston,-41.45,147.1667,41.34,90,4,9.22,AU,2022-07-21 21:07:26
165,Ust-Kuyga,70.0167,135.6,54.52,60,5,3.33,RU,2022-07-21 21:11:32
166,Padmanabhapuram,8.2333,77.3333,77.2,84,100,10.02,IN,2022-07-21 21:11:32
167,Puerto Escondido,15.85,-97.0667,88.63,55,75,3.44,MX,2022-07-21 21:11:32
168,Zapolyarnyy,69.4154,30.8136,60.08,71,100,4.07,RU,2022-07-21 21:11:33
169,Port Hardy,50.6996,-127.4199,59.18,82,40,12.66,CA,2022-07-21 21:11:33
170,Dikson,73.5069,80.5464,42.85,95,100,18.3,RU,2022-07-21 21:11:34
171,Saint Anthony,45.0205,-93.218,87.93,36,0,19.57,US,2022-07-21 21:11:34
172,Marneuli,41.4759,44.8089,68.74,87,41,6.38,GE,2022-07-21 21:11:34
173,Upernavik,72.7868,-56.1549,45.73,96,100,18.52,GL,2022-07-21 21:08:49
174,Porto Santo,33.072,-16.3415,70.18,68,75,16.11,PT,2022-07-21 21:11:35
175,Alofi,-19.0595,-169.9187,78.69,69,40,8.05,NU,2022-07-21 21:11:35
176,Gibsons,49.3997,-123.5027,82.09,65,100,2.86,CA,2022-07-21 21:11:00
177,Edd,13.9297,41.6925,91.29,60,67,4.97,ER,2022-07-21 21:11:35
178,Saldanha,-33.0117,17.9442,54.34,76,98,11.48,ZA,2022-07-21 21:11:36
179,Cidreira,-30.1811,-50.2056,62.71,90,90,4.56,BR,2022-07-21 21:11:36
180,Tyukhtet,56.5389,89.3011,55.04,96,54,6.13,RU,2022-07-21 21:11:36
181,Sao Joao Da Barra,-21.6403,-41.0511,73.49,83,8,9.93,BR,2022-07-21 21:12:37
182,Ankazoabo,-22.2833,44.5167,64.06,58,38,3.33,MG,2022-07-21 21:12:37
183,Castro,-24.7911,-50.0119,61.34,81,28,3.36,BR,2022-07-21 21:12:37
184,Talcahuano,-36.7167,-73.1167,51.48,93,100,5.75,CL,2022-07-21 21:12:37
185,El Carmen,8.5106,-73.4478,78.33,83,94,1.34,CO,2022-07-21 21:12:38
186,Ballangen,68.3428,16.8315,55.62,82,75,9.22,NO,2022-07-21 21:12:38
187,Astara,38.5,48.6667,65.1,66,0,3.38,AZ,2022-07-21 21:12:38
188,Ribeira Grande,38.5167,-28.7,74.14,81,32,2.59,PT,2022-07-21 21:11:36
189,Mar Del Plata,-38.0023,-57.5575,52.09,57,88,5.12,AR,2022-07-21 21:09:04
190,Lagoa,39.05,-27.9833,72.54,87,93,5.06,PT,2022-07-21 21:12:39
191,Hayden,47.766,-116.7866,92.08,28,0,10.36,US,2022-07-21 21:12:39
192,Jimenez,28.3333,-105.4,102.88,17,20,14.29,MX,2022-07-21 21:12:39
193,Konya,38.1667,32.5,63.88,37,0,6.2,TR,2022-07-21 21:12:40
194,Pisco,-13.7,-76.2167,64.45,68,20,14.97,PE,2022-07-21 21:11:34
195,Dingle,10.9995,122.6711,77.18,92,100,5.99,PH,2022-07-21 21:12:40
196,Oda,35.1833,132.5,73.67,93,95,18.16,JP,2022-07-21 21:12:41
197,Akdepe,42.0551,59.3788,91.65,21,1,9.13,TM,2022-07-21 21:12:41
198,Tukrah,32.5341,20.5791,77.36,76,0,10.6,LY,2022-07-21 21:12:41
199,Tobermory,45.2501,-81.6665,67.62,79,0,12.5,CA,2022-07-21 21:12:41
200,Isangel,-19.55,169.2667,78.08,80,4,13.71,VU,2022-07-21 21:12:42
201,Beira,-19.8436,34.8389,69.55,87,0,7.27,MZ,2022-07-21 21:12:42
202,Hofn,64.2539,-15.2082,50.56,90,33,1.74,IS,2022-07-21 21:12:42
203,Saint George,37.1041,-113.5841,111.63,13,0,14.97,US,2022-07-21 21:11:24
204,Bull Savanna,17.8868,-77.5902,85.48,60,5,16.67,JM,2022-07-21 21:12:43
205,Manadhoo,5.7667,73.3833,82.15,76,100,19.51,MV,2022-07-21 21:12:43
206,Synya,65.3718,58.0387,47.75,64,0,6.67,RU,2022-07-21 21:12:44
207,Carinhanha,-14.3047,-43.765,77.63,30,10,5.17,BR,2022-07-21 21:12:44
208,Santa Rosa,14.3122,121.1114,79.11,84,68,3.83,PH,2022-07-21 21:10:56
209,Morden,49.1919,-98.1014,79.09,52,8,13.87,CA,2022-07-21 21:07:48
210,New Norfolk,-42.7826,147.0587,37.71,97,3,2.55,AU,2022-07-21 21:10:06
211,Hokitika,-42.7167,170.9667,41.29,70,0,8.61,NZ,2022-07-21 21:12:44
212,Tiznit,29.5833,-9.5,89.47,22,39,2.17,MA,2022-07-21 21:12:45
213,Benghazi,32.1167,20.0667,78.49,70,0,10.8,LY,2022-07-21 21:12:45
214,Tibati,6.4667,12.6333,66.11,97,100,1.43,CM,2022-07-21 21:12:45
215,Chifeng,42.2683,118.9636,67.75,77,0,4.09,CN,2022-07-21 21:12:46
216,Raudeberg,61.9875,5.1352,52.47,84,78,10.0,NO,2022-07-21 21:12:53
217,Nokaneng,-19.6667,22.2667,61.0,48,54,7.31,BW,2022-07-21 21:12:53
218,Klaksvik,62.2266,-6.589,50.92,89,12,4.88,FO,2022-07-21 21:11:34
219,Maltahohe,-24.8333,16.9833,56.37,30,0,10.31,NA,2022-07-21 21:12:54
220,Amol,36.4696,52.3507,76.44,84,52,8.28,IR,2022-07-21 21:12:54
221,Palmer,42.1584,-72.3287,89.78,60,20,14.97,US,2022-07-21 21:12:54
222,Bud,39.447,-86.1758,92.41,47,0,7.65,US,2022-07-21 21:12:55
223,Labuhan,-6.8844,112.2051,75.24,84,94,9.4,ID,2022-07-21 21:12:55
224,Yumen,40.2833,97.2,67.84,26,0,8.52,CN,2022-07-21 21:12:55
225,Ust-Tarka,55.5672,75.705,56.57,97,100,11.07,RU,2022-07-21 21:12:55
226,Magadan,59.5667,150.8,67.53,78,46,5.5,RU,2022-07-21 21:12:56
227,Gambela,8.25,34.5833,69.31,83,18,3.02,ET,2022-07-21 21:13:56
228,Gizo,-8.103,156.8419,81.48,77,44,6.17,SB,2022-07-21 21:13:56
229,Yatou,37.15,122.3833,69.6,85,0,4.94,CN,2022-07-21 21:13:57
230,Jiayuguan,39.8167,98.3,64.76,30,0,4.09,CN,2022-07-21 21:13:58
231,Cuautepec,16.7,-99.0,85.08,73,94,7.0,MX,2022-07-21 21:13:58
232,Okhotsk,59.3833,143.3,58.42,87,100,4.03,RU,2022-07-21 21:13:58
233,Yuancheng,36.652,107.7896,59.83,87,100,12.37,CN,2022-07-21 21:13:59
234,Airai,-8.9266,125.4092,54.61,92,96,4.0,TL,2022-07-21 21:12:40
235,Sao Jose Da Coroa Grande,-8.8978,-35.1478,74.61,86,88,9.8,BR,2022-07-21 21:13:59
236,Taoudenni,22.6783,-3.9836,92.93,35,67,15.66,ML,2022-07-21 21:13:59
237,Lavrentiya,65.5833,-171.0,40.41,81,100,20.11,RU,2022-07-21 21:10:17
238,Rindal,63.0565,9.2124,52.66,94,100,4.25,NO,2022-07-21 21:14:00
239,North Bend,43.4065,-124.2243,71.92,67,20,11.5,US,2022-07-21 21:13:06
240,Doctor Juan Leon Mallorquin,-25.4,-55.2667,76.73,59,88,4.83,PY,2022-07-21 21:14:00
241,Dori,14.0354,-0.0345,89.26,47,54,0.72,BF,2022-07-21 21:14:00
242,Hambantota,6.1241,81.1185,79.16,81,100,20.2,LK,2022-07-21 21:14:01
243,Searcy,35.2506,-91.7363,97.99,44,0,6.91,US,2022-07-21 21:14:01
244,Shawville,45.6001,-76.4827,77.77,83,75,13.98,CA,2022-07-21 21:14:01
245,Vao,-22.6667,167.4833,73.38,90,10,19.75,NC,2022-07-21 21:14:02
246,Georgetown,5.4112,100.3354,81.9,89,20,2.3,MY,2022-07-21 21:10:09
247,Kilindoni,-7.9139,39.6668,75.99,71,0,17.18,TZ,2022-07-21 21:14:02
248,Langenlois,48.4904,15.6521,76.66,87,100,5.68,AT,2022-07-21 21:14:02
249,Havre-Saint-Pierre,50.2334,-63.5986,68.58,60,96,8.3,CA,2022-07-21 21:14:03
250,Tuatapere,-46.1333,167.6833,43.77,91,99,1.77,NZ,2022-07-21 21:14:03
251,Tirlyanskiy,54.2109,58.5806,51.01,95,81,2.84,RU,2022-07-21 21:14:03
252,Padre Bernardo,-15.35,-48.5,75.85,34,5,3.51,BR,2022-07-21 21:14:04
253,Bontang,0.1333,117.5,79.0,82,72,1.54,ID,2022-07-21 21:12:01
254,Fortuna,40.5982,-124.1573,65.93,78,42,5.01,US,2022-07-21 21:12:24
255,Auki,-8.7676,160.7034,79.54,83,95,2.19,SB,2022-07-21 21:14:04
256,Westerland,54.9079,8.3033,59.02,88,100,14.97,DE,2022-07-21 21:14:05
257,Saint-Pierre,-21.3393,55.4781,64.29,77,75,2.3,RE,2022-07-21 21:14:05
258,Tasiilaq,65.6145,-37.6368,42.96,78,77,1.61,GL,2022-07-21 21:11:33
259,Kalmunai,7.4167,81.8167,78.67,85,99,8.01,LK,2022-07-21 21:14:05
260,Normandin,48.8333,-72.5321,79.11,57,59,9.51,CA,2022-07-21 21:14:06
261,Souillac,-20.5167,57.5167,69.24,70,80,15.17,MU,2022-07-21 21:11:43
262,Ostrovnoy,68.0531,39.5131,54.23,82,95,5.08,RU,2022-07-21 21:14:06
263,Lahat,-3.8,103.5333,71.6,93,88,2.57,ID,2022-07-21 21:14:06
264,Necochea,-38.5473,-58.7368,46.15,52,85,2.53,AR,2022-07-21 21:14:07
265,Galesong,-5.3166,119.3661,75.22,88,94,8.28,ID,2022-07-21 21:14:07
266,Tucson,32.2217,-110.9265,105.87,26,0,14.0,US,2022-07-21 21:11:18
267,Lewiston,44.1003,-70.2148,82.89,86,75,18.41,US,2022-07-21 21:13:06
268,Biak,-0.9131,122.8766,74.91,88,27,6.64,ID,2022-07-21 21:14:07
269,Te Anau,-45.4167,167.7167,35.53,94,56,0.96,NZ,2022-07-21 21:14:08
270,Ewa Beach,21.3156,-158.0072,85.95,57,75,20.71,US,2022-07-21 21:14:08
271,Vila Velha,-20.3297,-40.2925,73.35,87,75,8.05,BR,2022-07-21 21:12:27
272,Sinnamary,5.3833,-52.95,80.22,80,23,8.88,GF,2022-07-21 21:14:08
273,San Cristobal,7.7669,-72.225,75.38,64,84,6.02,VE,2022-07-21 21:14:09
274,Kita,13.0349,-9.4895,75.52,90,100,3.47,ML,2022-07-21 21:15:09
275,Ayagoz,47.9714,80.4392,69.48,46,78,15.1,KZ,2022-07-21 21:15:09
276,Gat,31.61,34.7642,79.48,100,4,1.83,IL,2022-07-21 21:15:10
277,Urumqi,43.801,87.6005,74.35,25,0,8.95,CN,2022-07-21 21:15:10
278,Kapit,2.0167,112.9333,74.05,100,100,2.04,MY,2022-07-21 21:15:10
279,Srandakan,-7.9386,110.2506,75.43,84,100,9.57,ID,2022-07-21 21:15:11
280,Cartagena,10.3997,-75.5144,83.82,79,40,8.05,CO,2022-07-21 21:13:44
281,Quthing,-30.4,27.7003,48.69,50,0,3.02,LS,2022-07-21 21:15:11
282,Puerto Princesa,9.7392,118.7353,78.78,89,20,4.61,PH,2022-07-21 21:15:12
283,Mananara,-16.1667,49.7667,64.87,92,48,4.94,MG,2022-07-21 21:15:12
284,Mokrous,51.2333,47.5167,60.55,87,9,5.14,RU,2022-07-21 21:15:12
285,Srednekolymsk,67.45,153.6833,50.29,46,0,9.71,RU,2022-07-21 21:15:12
286,Rochegda,62.8,43.25,61.5,92,29,4.38,RU,2022-07-21 21:15:13
287,Severnyy,50.677,36.5532,59.04,94,75,8.95,RU,2022-07-21 21:15:13
288,Muzhi,65.3667,64.6667,47.44,61,4,11.25,RU,2022-07-21 21:15:13
289,Belyy Yar,53.6039,91.3903,55.85,87,0,0.0,RU,2022-07-21 21:15:14
290,State College,40.7934,-77.86,88.45,54,40,16.11,US,2022-07-21 21:14:17
291,Leh,34.1667,77.5833,66.2,18,95,5.5,IN,2022-07-21 21:15:14
292,Bowen,-20.0167,148.2333,60.15,91,40,6.78,AU,2022-07-21 21:15:15
293,Quatre Cocos,-20.2078,57.7625,70.09,68,91,19.01,MU,2022-07-21 21:15:15
