City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
126,Delijan,IR,33.9905,50.6838,83.43,43,35,2.51,scattered clouds
127,Aizpute,LV,56.7167,21.6,54.63,97,99,4.32,overcast clouds
128,Tarbes,FR,43.25,0.1667,59.47,82,0,2.3,clear sky
129,Kavaratti,IN,10.5669,72.642,78.17,89,100,16.75,overcast clouds
130,Langarud,IR,37.197,50.1535,77.05,88,72,3.42,broken clouds
131,Nagapattinam,IN,10.7667,79.8333,84.11,68,72,5.06,broken clouds
132,Hirara,JP,24.8,125.2833,91.67,66,40,11.5,scattered clouds
133,Doha,QA,25.2867,51.5333,91.29,74,40,9.22,scattered clouds
134,Itoman,JP,26.1247,127.6694,84.22,86,40,6.91,scattered clouds
135,Lagoa,PT,39.05,-27.9833,71.22,81,0,7.74,clear sky
136,Vaini,TO,-21.2,-175.2,78.96,89,20,10.36,few clouds
137,Richards Bay,ZA,-28.783,32.0377,63.43,89,88,5.66,overcast clouds
138,San Ignacio,BZ,17.1561,-89.0714,75.34,100,0,0.0,clear sky
139,Soyo,AO,-6.1349,12.3689,69.13,90,99,5.35,overcast clouds
140,Avarua,CK,-21.2078,-159.775,77.05,73,20,13.8,few clouds
141,Tautira,PF,-17.7333,-149.15,76.93,79,39,26.53,light rain
142,Ambon,ID,-3.6954,128.1814,80.74,83,75,10.36,light rain
143,Praia Da Vitoria,PT,38.7333,-27.0667,72.75,94,75,8.66,mist
144,Mahebourg,MU,-20.4081,57.7,68.29,88,40,5.75,scattered clouds
145,Bafoulabe,ML,13.8065,-10.8321,76.17,94,74,9.19,broken clouds
146,Touros,BR,-5.1989,-35.4608,73.6,85,12,11.34,few clouds
147,Nichinan,JP,31.6,131.3667,85.68,72,18,10.96,few clouds
148,Filingue,NE,14.3521,3.3168,85.55,57,100,15.26,overcast clouds
149,Male,MV,4.1748,73.5089,82.35,78,75,11.5,broken clouds
150,Hermanus,ZA,-34.4187,19.2345,53.8,81,0,12.26,clear sky
151,Zabaykalsk,RU,49.6333,117.3167,72.63,53,6,6.2,clear sky
152,Rincon,US,32.296,-81.2354,84.85,80,40,11.5,scattered clouds
153,Garowe,SO,8.4054,48.4845,71.62,63,71,24.4,broken clouds
154,Kaitangata,NZ,-46.2817,169.8464,44.92,94,100,7.63,overcast clouds
