City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
182,Monrovia,LR,74.98,light rain,6.3005,-10.7969,Sunset Inn
183,Bethel,US,74.75,clear sky,41.3712,-73.414,Courtyard by Marriott Danbury
185,Rowland Heights,US,88.57,clear sky,33.9761,-117.9053,Best Western Plus Executive Inn
187,Sakaiminato,JP,91.33,broken clouds,35.55,133.2333,Italian pasley
188,Salinopolis,BR,78.31,scattered clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
189,Victoria,HK,92.03,clear sky,22.2855,114.1577,Mini Central
191,Ballina,AU,66.02,clear sky,-28.8667,153.5667,Ramada Hotel & Suites by Wyndham Ballina Byron
193,Manokwari,ID,83.97,broken clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
194,Sinnamary,GF,77.09,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
196,Saint-Georges,GD,78.48,scattered clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
197,Airai,TL,67.86,few clouds,-8.9266,125.4092,
198,Saint Anthony,US,73.65,clear sky,45.0205,-93.218,"Holiday Inn Express Roseville-St. Paul, an IHG Hotel"
199,Kutum,SD,73.04,overcast clouds,14.2,24.6667,Dibbo areaمنطقة دبو
200,Yaan,NG,71.44,overcast clouds,7.3833,8.5667,
201,Ulaangom,MN,65.86,overcast clouds,49.9811,92.0667,Achit Nuur Hotel & Restaurant
204,Matay,EG,79.02,clear sky,28.419,30.7792,Nag Aespen
206,Shimoda,JP,86.36,overcast clouds,34.6667,138.95,Shimoda Tokyu Hotel
207,Khatanga,RU,71.17,overcast clouds,71.9667,102.5,"""Khatanga"""
211,Am Timan,TD,71.06,moderate rain,11.0297,20.2827,Palais du chef Canton Salamt
212,Kenai,US,69.89,clear sky,60.5544,-151.2583,Aspen Extended Stay Suites
213,Cabedelo,BR,72.27,broken clouds,-6.9811,-34.8339,Pousada Camboinha
214,Cairns,AU,79.07,scattered clouds,-16.9167,145.7667,Mantra Trilogy Cairns
215,Sungaipenuh,ID,79.3,broken clouds,-2.0833,101.3833,Penginapan Citra Alam
217,Freeport,US,79.16,clear sky,40.6576,-73.5832,The Freeport Inn and Marina
218,Sar-E Pul,AF,77.9,clear sky,35.8333,66.1667,
220,Nabire,ID,82.36,few clouds,-3.3667,135.4833,Hotel Nusantara I
222,Graham,US,91.9,clear sky,47.0529,-122.2943,Rainier View Adult Rv Park
223,Kudahuvadhoo,MV,82.4,overcast clouds,2.6708,72.8944,Niyama Private Islands Maldives
224,Biak,ID,80.22,overcast clouds,-0.9131,122.8766,Penginapan Kim
226,Sao Filipe,CV,78.17,overcast clouds,14.8961,-24.4956,Hotel Xaguate
228,Barcelona,ES,78.75,broken clouds,41.3888,2.159,Axel Hotel Barcelona
230,Abu Dhabi,AE,87.82,broken clouds,24.4667,54.3667,Beach Rotana
231,Juneau,US,65.84,overcast clouds,58.3019,-134.4197,"Baranof Downtown, BW Signature Collection"
232,Kununurra,AU,78.78,clear sky,-15.7667,128.7333,Hotel Kununurra
233,Awjilah,LY,79.54,clear sky,29.1081,21.2869,المنزل
234,Barao De Melgaco,BR,71.85,clear sky,-16.1944,-55.9675,Tuiuiu Pantanal Hotel
235,Maceio,BR,72.84,few clouds,-9.6658,-35.7353,Hotel Ponta Verde Maceió
236,Yellowknife,CA,66.72,broken clouds,62.456,-114.3525,The Explorer Hotel
238,Gjirokaster,AL,74.32,scattered clouds,40.0758,20.1389,Hotel Gjirokastra
239,Padang,ID,80.65,scattered clouds,-0.9492,100.3543,Mercure Padang
240,Cruzeiro Do Oeste,BR,66.0,few clouds,-23.785,-53.0733,Hotel Malybu
241,Yerbogachen,RU,73.58,light rain,61.2767,108.0108,
243,Kahului,US,86.02,few clouds,20.8947,-156.47,Maui Seaside Hotel
245,San Quintin,MX,67.5,clear sky,30.4833,-115.95,Don Eddie's Sport Fishing Center
246,Djibo,BF,83.01,broken clouds,14.1022,-1.6306,Centre Des Ressources DPENA
248,Beba,CU,79.07,overcast clouds,22.4437,-79.7253,Hostal Cubaustria
250,Cururupu,BR,73.72,scattered clouds,-1.8283,-44.8683,POUSADA TRAVÉS'CIA
252,Mayo,US,82.98,clear sky,38.8876,-76.5119,Resorts Resource Group International
254,Dong Hoi,VN,90.28,broken clouds,17.4833,106.6,Nam Long Hotel
255,Beipiao,CN,70.38,light rain,41.7919,120.7792,Beipiao Hotel
256,Caceres,ES,67.93,clear sky,39.522,-6.3748,Ahc Hoteles
258,Broome,US,73.65,broken clouds,42.2506,-75.833,Chenango Valley State Park
260,Yei,SS,65.88,overcast clouds,4.095,30.6779,Twins Hotel Yei
262,Kurchum,KZ,80.47,broken clouds,48.5722,83.6542,"""Kneda"" Hotel"
264,Rancho Palos Verdes,US,79.41,scattered clouds,33.7445,-118.387,Terranea Resort
265,Saint-Philippe,RE,67.59,light rain,-21.3585,55.7679,Le four à pain
